实际回款时间,回款额,月份,月度汇总
9/2/2022,¥900 ,2022年9月份,"¥201,800 "
9/8/2022,"¥133,500 ",,
9/19/2022,"¥64,400 ",,
9/20/2022,"¥3,000 ",,
10/11/2022,"¥58,800 ",2022年10月份,"¥108,800 "
10/13/2022,"¥40,000 ",,
10/28/2022,"¥10,000 ",,
11/2/2022,"¥133,500 ",2022年11月份,"¥245,600 "
11/2/2022,"¥30,000 ",,
11/4/2022,"¥12,860 ",,
11/10/2022,"¥1,500 ",,
11/10/2022,"¥3,000 ",,
11/15/2022,"¥12,870 ",,
11/15/2022,"¥12,870 ",,
11/15/2022,"¥35,000 ",,
11/23/2022,"¥4,000 ",,
12/13/2022,"¥50,000 ",2022年12月份,"¥361,200 "
12/19/2022,"¥45,600 ",,
12/22/2022,"¥41,280 ",,
12/23/2022,"¥22,050 ",,
12/25/2022,"¥31,920 ",,
12/27/2022,"¥39,600 ",,
12/28/2022,"¥66,000 ",,
12/29/2022,"¥62,500 ",,
12/29/2022,"¥2,250 ",,
1/10/2023,"¥77,400 ",2023年1月份,"¥586,758 "
1/11/2023,"¥18,750 ",,
1/12/2023,"¥5,400 ",,
1/17/2023,"¥78,900 ",,
1/18/2023,"¥105,000 ",,
1/20/2023,"¥301,308 ",,
2/3/2023,"¥37,200 ",2023年2月份,"¥182,700 "
2/8/2023,"¥60,000 ",,
2/17/2023,"¥5,000 ",,
2/17/2023,"¥7,500 ",,
2/20/2023,"¥26,000 ",,
2/22/2023,"¥44,000 ",,
2/24/2023,"¥3,000 ",,
3/2/2023,"¥154,500 ",2023年3月份,"¥524,204 "
3/2/2023,"¥15,000 ",,
3/8/2023,"¥210,000 ",,
3/22/2023,"¥21,120 ",,
3/23/2023,"¥7,500 ",,
3/30/2023,"¥5,000 ",,
3/31/2023,"¥82,044 ",,
3/31/2023,"¥29,040 ",,
4/12/2023,"¥30,000 ",2023年4月份,"¥121,348 "
4/17/2023,"¥12,870 ",,
4/17/2023,"¥12,870 ",,
4/23/2023,"¥2,000 ",,
4/23/2023,"¥5,000 ",,
4/28/2023,"¥29,304 ",,
4/28/2023,"¥29,304 ",,
5/10/2023,"¥25,905 ",2023年5月份,"¥109,405 "
5/17/2023,"¥3,000 ",,
5/19/2023,"¥77,250 ",,
5/19/2023,"¥1,000 ",,
5/25/2023,"¥2,250 ",,
6/19/2023,"¥9,200 ",2023年6月份,"¥27,950 "
6/30/2023,"¥18,750 ",,
7/10/2023,"¥19,734 ",2023年7月份,"¥157,698 "
7/11/2023,"¥90,014 ",,
7/18/2023,"¥3,450 ",,
7/19/2023,"¥44,500 ",,
8/15/2023,"¥120,600 ",2023年8月份,"¥120,600 "
9/1/2023,"¥12,002 ",2023年9月份,"¥110,002 "
9/5/2023,"¥8,000 ",,
9/25/2023,"¥90,000 ",,
10/16/2023,"¥12,870 ",2023年10月份,"¥25,740 "
10/16/2023,"¥12,870 ",,
